category_key,query_ru,display_en,title,address,lat,lon,rating,org_url
atm,Банкоматы,ATMs,ВТБ,"ул. Московский Тракт, 108, Внутри отделения",57.135913,65.499374,,https://yandex.ru/maps/org/vtb/241722225820/
atm,Банкоматы,ATMs,СберБанк,"ул. 50 лет Октября, 3",57.153336,65.567736,,https://yandex.ru/maps/org/sberbank/204158402856/
atm,Банкоматы,ATMs,"ВТБ, банкомат","Товарное ш., 15",57.149724,65.516702,,https://yandex.ru/maps/org/vtb_bankomat/132231801247/
atm,Банкоматы,ATMs,Банк ВТБ,"ул. Луначарского, 2, корп. 5",57.166818,65.511690,,https://yandex.ru/maps/org/bank_vtb/20490083670/
atm,Банкоматы,ATMs,Газпромбанк,"Алебашевская ул., 19, ТЦ Зелёный Берег",57.169975,65.567341,,https://yandex.ru/maps/org/gazprombank/1226764122/
atm,Банкоматы,ATMs,Кредит Европа банк,"Алебашевская ул., 19, этаж 1",57.169980,65.567287,,https://yandex.ru/maps/org/kredit_yevropa_bank/198324996359/
atm,Банкоматы,ATMs,Альфа-банк,"Советская ул., 55",57.154675,65.547277,,https://yandex.ru/maps/org/alfa_bank/122917400253/
atm,Банкоматы,ATMs,"Альфа-банк, банкомат","Советская ул., 55/4",57.155279,65.547946,,https://yandex.ru/maps/org/alfa_bank_bankomat/7759212003/
atm,Банкоматы,ATMs,Халва,"ул. Республики, 145",57.139807,65.567001,,https://yandex.ru/maps/org/khalva/222247624254/
atm,Банкоматы,ATMs,Сбербанк России,"Алебашевская ул., 19, этаж 1",57.169980,65.567287,,https://yandex.ru/maps/org/sberbank_rossii/186846583131/
atm,Банкоматы,ATMs,Газпромбанк,"ул. Республики, 143А",57.139747,65.567933,,https://yandex.ru/maps/org/gazprombank/32595067159/
atm,Банкоматы,ATMs,"Почта банк, банкомат","ул. Московский Тракт, 108",57.135913,65.499374,,https://yandex.ru/maps/org/pochta_bank_bankomat/166745103302/
atm,Банкоматы,ATMs,Почта банк,"ул. Республики, 144, этаж 1",57.137344,65.569749,,https://yandex.ru/maps/org/pochta_bank/12611032844/
gas,АЗС,Gas stations,ТПК,"Северная ул., 7, Центральный округ",57.153893,65.562822,,https://yandex.ru/maps/org/tpk/30019309824/
gas,АЗС,Gas stations,Газпромнефть,"Профсоюзная ул., 1",57.159101,65.568257,,https://yandex.ru/maps/org/gazpromneft/1083053384/
gas,АЗС,Gas stations,Лукойл,"Товарное ш., 4",57.149406,65.51594,,https://yandex.ru/maps/org/lukoyl/1133907888/
gas,АЗС,Gas stations,Полевая,"ул. Чернышевского, 2, стр. 1",57.156168,65.511625,,https://yandex.ru/maps/org/polevaya/1091410589/
gas,АЗС,Gas stations,Signal,"Товарное ш., 1",57.149397,65.516033,,https://yandex.ru/maps/org/signal/1126211627/
gas,АЗС,Gas stations,Лукойл,"ул. 50 лет ВЛКСМ, 46",57.135803,65.552939,,https://yandex.ru/maps/org/lukoyl/1028955185/
gas,АЗС,Gas stations,Н-3,"ул. 50 лет ВЛКСМ, 61, этаж 1",57.120849,65.5877,,https://yandex.ru/maps/org/n_3/219260239841/
gas,АЗС,Gas stations,Лукойл,"Молодёжная ул., 82",57.13198,65.552058,,https://yandex.ru/maps/org/lukoyl/5593729347/
gas,АЗС,Gas stations,Лукойл,"Полевая ул., 104/1",57.169831,65.495041,,https://yandex.ru/maps/org/lukoyl/1001106219/
sport,Спорт,Sport,Fight Spirit,"ул. Грибоедова, 13, Вход со стороны улицы Короленко",57.148073,65.533812,"Рейтинг 5,0 66 оценок (66)",https://yandex.ru/maps/org/fight_spirit/210092704647/
sport,Спорт,Sport,Контр Паркур,"ул. Герцена, 64, павильон 326, этаж 3",57.152253,65.532086,"Рейтинг 5,0 33 оценки (33)",https://yandex.ru/maps/org/kontr_parkur/71895564617/
sport,Спорт,Sport,МФК Тюмень,"ул. Орджоникидзе, 60/1",57.150153,65.541116,"Рейтинг 5,0 360 оценок 360 оценок",https://yandex.ru/maps/org/mfk_tyumen/1506854088/
sport,Спорт,Sport,Нефть Кроссфит,"ул. Володарского, 50",57.150984,65.547902,"Рейтинг 5,0 97 оценок 97 оценок",https://yandex.ru/maps/org/neft_krossfit/204447433239/
sport,Спорт,Sport,Динамо,"ул. Володарского, 50",57.150982,65.54788,"Рейтинг 4,1 24 оценки 24 оценки",https://yandex.ru/maps/org/dinamo/1022387886/
sport,Спорт,Sport,Городской шахматный клуб,"ул. Осипенко, 63",57.15802,65.557976,"Рейтинг 4,3 20 оценок 20 оценок",https://yandex.ru/maps/org/gorodskoy_shakhmatny_klub/1089735752/
sport,Спорт,Sport,Air dance,"ул. Республики, 57, этаж 4",57.149897,65.547665,"Рейтинг 4,2 3 оценки 3 оценки",https://yandex.ru/maps/org/air_dance/223483582160/
sport,Спорт,Sport,Agym,"ул. Осипенко, 79, этаж 5",57.134039,65.560919,"Рейтинг 4,7 295 оценок 295 оценок",https://yandex.ru/maps/org/agym/1404754290/
sport,Спорт,Sport,Good Balance,"ул. Циолковского, 9",57.159645,65.561301,"Рейтинг 4,9 56 оценок 56 оценок",https://yandex.ru/maps/org/good_balance/119226449096/
cafe,Кафе,Cafes,Большое Яблоко,"ул. Осипенко, 73",57.157166,65.558425,"Рейтинг 4,7 660 оценок (660)",https://yandex.ru/maps/org/bolshoye_yabloko/1195029689/
cafe,Кафе,Cafes,Квартира Пиросмани,"ул. Герцена, 64",57.152115,65.531982,"Рейтинг 4,9 243 оценки (243)",https://yandex.ru/maps/org/kvartira_pirosmani/89806222329/
cafe,Кафе,Cafes,Горячий цех,"ул. Республики, 42",57.155368,65.535122,"Рейтинг 5,0 1714 оценок (1714)",https://yandex.ru/maps/org/goryachiy_tsekh/146180885472/
cafe,Кафе,Cafes,Бурятская кухня,"ул. Челюскинцев, 29, этаж 1",57.157291,65.536277,"Рейтинг 5,0 1241 оценка 1241 оценка",https://yandex.ru/maps/org/buryatskaya_kukhnya/20498975577/
cafe,Кафе,Cafes,Раменшоп,"ул. Кирова, 18",57.1587,65.53351,"Рейтинг 5,0 429 оценок 429 оценок",https://yandex.ru/maps/org/ramenshop/206518514304/
cafe,Кафе,Cafes,Asia Bistro 15/86,"ул. Ленина, 68/101",57.151705,65.538383,"Рейтинг 4,4 203 оценки 203 оценки",https://yandex.ru/maps/org/asia_bistro_15_86/6317310266/
cafe,Кафе,Cafes,Pasta & Salsa Osteria,"ул. Сакко, 24",57.157456,65.545933,"Рейтинг 4,7 174 оценки 174 оценки",https://yandex.ru/maps/org/pasta_salsa_osteria/60191813861/
cafe,Кафе,Cafes,Black еда,"Первомайская ул., 58А, этаж 2",57.147277,65.522826,"Рейтинг 4,7 306 оценок 306 оценок",https://yandex.ru/maps/org/black_yeda/71196527122/
cafe,Кафе,Cafes,Izakaya by SoupRamen,"ул. Урицкого, 5, этаж 1",57.157354,65.525999,"Рейтинг 4,8 558 оценок (558)",https://yandex.ru/maps/org/izakaya_by_soupramen/144449312353/
cafe,Кафе,Cafes,Шашлыкоff,"ул. Ленина, 54В",57.152667,65.536708,"Рейтинг 4,9 579 оценок (579)",https://yandex.ru/maps/org/shashlykoff/124495712038/
cafe,Кафе,Cafes,Mestia,"ул. Дзержинского, 38, этаж 1",57.156583,65.536502,"Рейтинг 4,6 563 оценки (563)",https://yandex.ru/maps/org/mestia/15207057936/
